iteration_count	ifmap_h	ifmap_w	k	c_in	f_out	filter_count	channel_count	valid	dram	weight	psum	ifmap	pe_util	latency	sim_time
69	4	4	1	8	64	7	9	PASS	1782	1323	2048	1408	0.8	195000	35
70	4	4	1	16	64	7	9	PASS	2540	2583	4096	2816	0.8	365000	57
71	4	4	1	32	64	7	9	PASS	4056	5103	8192	5632	0.81	705000	100
72	4	4	1	64	64	7	9	PASS	7088	10143	16384	11264	0.81	1385000	184
73	4	4	1	128	64	7	9	PASS	12522	18963	30720	22528	0.87	2575000	359
74	4	4	1	256	64	7	9	PASS	23390	36603	59392	45056	0.9	4955000	660
75	4	4	1	512	64	7	9	PASS	45126	71883	116736	90112	0.91	9715000	1257
76	4	4	1	1024	64	7	9	PASS	89228	143703	233472	180224	0.91	19405000	2529
77	4	4	1	1	128	7	9	PASS	3261	2457	4096	320	0.12	348000	68
78	4	4	1	2	128	7	9	PASS	3277	2457	4096	640	0.23	348000	60
79	4	4	1	4	128	7	9	PASS	3309	2457	4096	1280	0.44	348000	62
80	4	4	1	8	128	7	9	PASS	3373	2457	4096	2560	0.85	348000	67
81	4	4	1	16	128	7	9	PASS	4698	4851	8192	5120	0.85	671000	105
82	4	4	1	32	128	7	9	PASS	7348	9639	16384	10240	0.85	1317000	188
83	4	4	1	64	128	7	9	PASS	12648	19215	32768	20480	0.85	2609000	350
84	4	4	1	128	128	7	9	PASS	22051	35973	61440	40960	0.91	4870000	646
85	4	4	1	256	128	7	9	PASS	40857	69489	118784	81920	0.94	9392000	1228
86	4	4	1	512	128	7	9	PASS	78469	136521	233472	163840	0.96	18436000	2387
87	4	4	1	1024	128	7	9	PASS	154890	272979	466944	327680	0.96	36847000	4807
88	4	4	1	1	256	7	9	PASS	6443	4725	8192	608	0.12	654000	157
89	4	4	1	2	256	7	9	PASS	6459	4725	8192	1216	0.23	654000	111
90	4	4	1	4	256	7	9	PASS	6491	4725	8192	2432	0.44	654000	115
91	4	4	1	8	256	7	9	PASS	6555	4725	8192	4864	0.88	654000	122
92	4	4	1	16	256	7	9	PASS	9014	9387	16384	9728	0.88	1283000	204
93	4	4	1	32	256	7	9	PASS	13932	18711	32768	19456	0.88	2541000	365
94	4	4	1	64	256	7	9	PASS	23768	37359	65536	38912	0.88	5057000	686
95	4	4	1	128	256	7	9	PASS	41109	69993	122880	77824	0.94	9460000	1247
96	4	4	1	256	256	7	9	PASS	75791	135261	237568	155648	0.97	18266000	2416
97	4	4	1	512	256	7	9	PASS	145155	265797	466944	311296	0.99	35878000	4712
98	4	4	1	1024	256	7	9	PASS	286214	531531	933888	622592	0.99	71731000	9445
99	4	4	1	1	512	7	9	PASS	12870	9387	16384	1200	0.11	1283000	252
100	4	4	1	2	512	7	9	PASS	12886	9387	16384	2400	0.22	1283000	220
101	4	4	1	4	512	7	9	PASS	12918	9387	16384	4800	0.44	1283000	228
102	4	4	1	8	512	7	9	PASS	12982	9387	16384	9600	0.88	1283000	246
103	4	4	1	16	512	7	9	PASS	17772	18711	32768	19200	0.88	2541000	404
104	4	4	1	32	512	7	9	PASS	27352	37359	65536	38400	0.88	5057000	720
105	4	4	1	64	512	7	9	PASS	46512	74655	131072	76800	0.88	10089000	1372
106	4	4	1	128	512	7	9	PASS	80170	139923	245760	153600	0.94	18895000	2467
107	4	4	1	256	512	7	9	PASS	147486	270459	475136	307200	0.97	36507000	4746
108	4	4	1	512	512	7	9	PASS	282118	531531	933888	614400	0.99	71731000	9373
109	4	4	1	1024	512	7	9	PASS	556044	1062999	1867776	1228800	0.99	143437000	18653
110	4	4	1	1	1024	7	9	PASS	25661	18585	32768	2368	0.11	2524000	481
111	4	4	1	2	1024	7	9	PASS	25677	18585	32768	4736	0.22	2524000	447
112	4	4	1	4	1024	7	9	PASS	25709	18585	32768	9472	0.44	2524000	459
113	4	4	1	8	1024	7	9	PASS	25773	18585	32768	18944	0.88	2524000	486
114	4	4	1	16	1024	7	9	PASS	35162	37107	65536	37888	0.88	5023000	799
115	4	4	1	32	1024	7	9	PASS	53940	74151	131072	75776	0.88	10021000	1470
116	4	4	1	64	1024	7	9	PASS	91496	148239	262144	151552	0.88	20017000	2703
117	4	4	1	128	1024	7	9	PASS	157347	277893	491520	303104	0.94	37510000	5018
118	4	4	1	256	1024	7	9	PASS	289049	537201	950272	606208	0.98	72496000	9501
119	4	4	1	512	1024	7	9	PASS	552453	1055817	1867776	1212416	0.99	142468000	18706
120	4	4	1	1024	1024	7	9	PASS	1088522	2111571	3735552	2424832	0.99	284911000	36750
121	4	24	1	1	1	7	9	PASS	255	189	192	192	0.079	122000	109
122	4	24	1	2	1	7	9	PASS	351	189	192	384	0.094	122000	13
123	4	24	1	4	1	7	9	PASS	543	189	192	768	0.12	122000	14
124	4	24	1	8	1	7	9	PASS	927	189	192	1536	0.18	122000	17
125	4	24	1	16	1	7	9	PASS	1758	315	384	3072	0.16	219000	29
126	4	24	1	32	1	7	9	PASS	3420	567	768	6144	0.14	413000	52
127	4	24	1	64	1	7	9	PASS	6744	1071	1536	12288	0.13	801000	100
128	4	24	1	128	1	7	9	PASS	13329	1953	2880	24576	0.14	1480000	195
129	4	24	1	256	1	7	9	PASS	26499	3717	5568	49152	0.14	2838000	396
130	4	24	1	512	1	7	9	PASS	52839	7245	10944	98304	0.14	5554000	809
131	4	24	1	1024	1	7	9	PASS	105582	14427	21888	196608	0.14	11083000	1647
132	4	24	1	1	2	7	9	PASS	351	189	384	192	0.095	122000	14
133	4	24	1	2	2	7	9	PASS	447	189	384	384	0.13	122000	14
