iteration_count	ifmap_h	ifmap_w	k	c_in	f_out	filter_count	channel_count	valid	dram	weight	psum	ifmap	pe_util	latency	sim_time
329	4	44	1	1024	128	7	9	PASS	339210	272979	5136384	3604480	0.96	383407000	60906
330	4	44	1	1	256	7	9	PASS	47563	4725	90112	6688	0.11	6574000	1322
331	4	44	1	2	256	7	9	PASS	47739	4725	90112	13376	0.22	6574000	1199
332	4	44	1	4	256	7	9	PASS	48091	4725	90112	26752	0.44	6574000	1241
333	4	44	1	8	256	7	9	PASS	48795	4725	90112	53504	0.88	6574000	1306
334	4	44	1	16	256	7	9	PASS	52534	9387	180224	107008	0.88	13123000	2154
335	4	44	1	32	256	7	9	PASS	60012	18711	360448	214016	0.88	26221000	3820
336	4	44	1	64	256	7	9	PASS	74968	37359	720896	428032	0.88	52417000	7171
337	4	44	1	128	256	7	9	PASS	102549	69993	1351680	856064	0.94	98260000	13234
338	4	44	1	256	256	7	9	PASS	157711	135261	2613248	1712128	0.97	189946000	25107
339	4	44	1	512	256	7	9	PASS	268035	265797	5136384	3424256	0.99	373318000	49619
340	4	44	1	1024	256	7	9	PASS	491014	531531	10272768	6848512	0.99	746611000	98618
341	4	44	1	1	512	7	9	PASS	94950	9387	180224	13200	0.11	13123000	2656
342	4	44	1	2	512	7	9	PASS	95126	9387	180224	26400	0.22	13123000	2445
343	4	44	1	4	512	7	9	PASS	95478	9387	180224	52800	0.44	13123000	2507
344	4	44	1	8	512	7	9	PASS	96182	9387	180224	105600	0.88	13123000	2645
345	4	44	1	16	512	7	9	PASS	102252	18711	360448	211200	0.88	26221000	4345
346	4	44	1	32	512	7	9	PASS	114392	37359	720896	422400	0.88	52417000	7611
347	4	44	1	64	512	7	9	PASS	138672	74655	1441792	844800	0.88	104809000	14507
348	4	44	1	128	512	7	9	PASS	182570	139923	2703360	1689600	0.94	196495000	26896
349	4	44	1	256	512	7	9	PASS	270366	270459	5226496	3379200	0.97	379867000	50523
350	4	44	1	512	512	7	9	PASS	445958	531531	10272768	6758400	0.99	746611000	99299
351	4	44	1	1024	512	7	9	PASS	801804	1062999	20545536	13516800	0.99	1493197000	194961
352	4	44	1	1	1024	7	9	PASS	189661	18585	360448	26048	0.11	26044000	5358
353	4	44	1	2	1024	7	9	PASS	189837	18585	360448	52096	0.22	26044000	4952
354	4	44	1	4	1024	7	9	PASS	190189	18585	360448	104192	0.44	26044000	5042
355	4	44	1	8	1024	7	9	PASS	190893	18585	360448	208384	0.88	26044000	5327
356	4	44	1	16	1024	7	9	PASS	201562	37107	720896	416768	0.88	52063000	8701
357	4	44	1	32	1024	7	9	PASS	222900	74151	1441792	833536	0.88	104101000	15165
358	4	44	1	64	1024	7	9	PASS	265576	148239	2883584	1667072	0.88	208177000	28487
359	4	44	1	128	1024	7	9	PASS	341667	277893	5406720	3334144	0.94	390310000	53508
360	4	44	1	256	1024	7	9	PASS	493849	537201	10452992	6668288	0.98	754576000	98751
