ifmap_h,ifmap_w,kernel,c_in,f_out,arch_filter_count,arch_channel_count,valid,dram,weight,psum,ifmap,pe_util,latency,sim_time
56,56,3,2,8,9,9,PASS,29762,405,120096,12544,0.89,6420000,749
3364,1,1,32,16,9,9,PASS,162120,1377,430592,322944,0.79,26945000,3395
135,135,3,32,32,32,18,PASS,1158464,19008,18951968,1166400,0.98,292046000,60239
12,12,1,128,256,9,9,PASS,90531,70551,1105920,552960,0.93,63100000,2774
80,80,3,1,32,32,18,PASS,201664,1728,594048,12800,0.5,6586000,3764
10,10,1,64,64,12,27,PASS,18632,11988,38400,44800,0.69,1861000,348
206,206,3,4,1,9,9,PASS,211684,729,377808,339488,0.11,170212000,7086
31,31,3,16,32,9,9,PASS,47472,10449,947488,76880,0.89,62222000,2802
17,17,3,8,16,12,27,PASS,7856,4212,28080,6936,0.59,1844000,339
115,115,3,64,32,9,9,PASS,1275744,41553,53636128,4232000,0.89,3388406000,141300
43,43,3,16,512,32,18,PASS,963984,148032,15303168,502928,0.98,238054000,47302
175,175,3,16,1,12,27,PASS,521873,4212,393229,980000,0.076,184176000,18016
37,37,1,16,512,32,18,PASS,732048,19008,1401856,372368,0.87,21954000,14474
44,44,3,128,4,12,27,PASS,268796,28188,642768,495616,0.33,83782000,8920
71,71,1,32,8,32,18,PASS,202792,2880,161312,322624,0.22,10118000,4008
43,43,1,2,32,32,18,PASS,63442,1728,118336,7396,0.11,1884000,1180
2116,1,1,1,2,9,9,PASS,6429,243,8464,4232,0.028,2142000,153
154,154,3,3,4,12,27,PASS,163888,972,279680,142296,0.34,24050000,4037
32,32,3,1,64,12,27,PASS,60568,4212,180480,7168,0.3,6284000,1490
91,91,1,64,1,32,18,PASS,540569,5184,66248,1059968,0.028,33162000,10689
30,30,1,128,256,9,9,PASS,380835,70551,6912000,3456000,0.93,391960000,18715
1156,1,1,32,16,32,18,PASS,56640,2880,73984,73984,0.44,2348000,1027
99,99,1,32,4,9,9,PASS,353160,729,313632,627264,0.4,39233000,6272
49,49,3,256,2,32,18,PASS,692802,148032,1183554,1229312,0.063,308722000,32900
88,88,3,128,1,32,18,PASS,1035492,74304,976100,1982464,0.032,496448000,50580
30,30,3,64,32,32,18,PASS,101120,37440,1745408,115200,0.98,29196000,4963
39,39,1,3,512,12,27,PASS,797247,28188,1557504,200772,0.11,65489000,16044
56,56,3,16,2,9,9,PASS,57304,2673,199368,100352,0.22,50464000,2054
39,39,1,8,64,32,18,PASS,110664,2880,194688,36504,0.44,3078000,1863
58,58,3,1,128,12,27,PASS,408336,7452,1232896,40368,0.32,37246000,9288
121,1,1,2,4,32,18,PASS,1302,1728,968,484,0.092,156000,80
82,82,3,8,16,32,18,PASS,158496,5184,942080,107584,0.49,27116000,5268
76,76,3,32,1,12,27,PASS,193872,7452,129204,369664,0.083,63814000,6377
1024,1,1,16,128,12,27,PASS,151020,7452,262144,196608,0.56,11318000,2927
104,104,3,16,32,12,27,PASS,511816,11988,4406400,692224,0.78,195092000,23847
26244,1,1,1,16,32,18,PASS,446724,1728,839808,52488,0.028,26279000,8905
136,136,3,8,32,12,27,PASS,725476,6156,4073600,591872,0.78,166842000,25497
144,1,1,512,32,32,18,PASS,95040,33984,267264,147456,0.96,4239000,1689
114,114,3,8,8,9,9,PASS,204968,1377,1734656,207936,0.89,104292000,6740
23,23,3,32,4,32,18,PASS,27908,19008,63588,33856,0.13,8686000,992
256,1,1,128,32,12,27,PASS,45820,10044,81920,131072,0.83,3898000,906
129,129,3,1,1,12,27,PASS,33094,972,48895,33282,0.043,16925000,1352
107,107,3,8,16,9,9,PASS,269288,2673,3052560,274776,0.89,183574000,10324
121,121,1,64,1,12,27,PASS,952637,2268,87846,1874048,0.066,43969000,17250
59,59,3,3,1,12,27,PASS,14016,972,9975,20886,0.11,3625000,491
11,11,3,2,4,32,18,PASS,1142,1728,1116,484,0.27,169000,135
40,40,3,1,2,9,9,PASS,4569,243,8968,3200,0.26,1706000,169
57,57,3,8,1,32,18,PASS,31321,5184,28105,51984,0.04,13166000,1535
15,15,3,128,2,9,9,PASS,39506,20817,100178,57600,0.22,30126000,1303
28,28,3,2,128,9,9,PASS,90526,4941,459264,25088,0.95,23892000,2285
143,143,1,3,16,9,9,PASS,388693,405,654368,184041,0.3,40925000,7167
18,18,3,2,128,12,27,PASS,36980,7452,106496,7776,0.64,3726000,886
40,40,3,1,64,32,18,PASS,95168,2880,286976,4800,0.5,3316000,2012
14400,1,1,64,4,32,18,PASS,981504,5184,460800,1843200,0.11,57638000,19409
47,47,3,1,32,9,9,PASS,67333,729,200160,11045,0.89,8986000,1359
1444,1,1,3,1,9,9,PASS,5857,243,2888,8664,0.042,1470000,156
19,19,1,3,64,12,27,PASS,26131,4212,46208,7581,0.11,2215000,514
109,109,3,16,64,12,27,PASS,934496,23652,9689920,1330672,0.78,428310000,49778
41,41,3,3,2,12,27,PASS,8409,972,9438,10086,0.21,1789000,281
14161,1,1,64,32,9,9,PASS,1362048,5265,7250432,4531520,0.79,453209000,36558
180,180,3,2,32,12,27,PASS,1079660,2268,3064448,259200,0.58,97606000,25863
62,62,1,8,1,32,18,PASS,35172,1728,7688,61504,0.017,3879000,722
41,41,3,512,16,9,9,PASS,967952,165969,26222352,2582016,0.89,1731682000,75242
16,16,3,1,32,12,27,PASS,7500,2268,20608,1024,0.32,846000,264
32,32,3,128,1,9,9,PASS,142340,20817,246660,262144,0.11,132432000,4911
119,119,3,64,2,9,9,PASS,938866,10449,3591666,1812608,0.22,907198000,37267
3249,1,1,2,16,9,9,PASS,58644,405,103968,19494,0.2,6525000,1070
3025,1,1,128,256,9,9,PASS,1196835,70551,23232000,11616000,0.93,1316335000,64894
103,103,1,4,64,12,27,PASS,723356,4212,1357952,297052,0.13,63703000,15394
191,191,3,2,8,9,9,PASS,358892,405,1440936,145924,0.89,73380000,8394
2116,1,1,32,1,32,18,PASS,70980,2880,8464,135424,0.03,4268000,1356
36,36,3,2,128,32,18,PASS,152864,5184,461312,12960,0.98,5312000,3373
58,58,3,3,4,12,27,PASS,22960,972,38528,20184,0.35,3506000,597
29,29,3,64,32,32,18,PASS,95584,37440,1626912,107648,0.98,27306000,5423
400,1,1,1,256,12,27,PASS,109928,14580,204800,9200,0.038,8865000,2238
20,20,3,32,8,12,27,PASS,18956,7452,65952,25600,0.64,4566000,753
59,59,1,3,32,32,18,PASS,122411,1728,222784,20886,0.16,3516000,2396
40,40,1,128,128,9,9,PASS,427825,36531,6144000,3276800,0.9,360250000,19056
7396,1,1,2,4,12,27,PASS,44700,972,59168,29584,0.027,7440000,938
20,20,1,256,8,32,18,PASS,114240,17856,96000,204800,0.24,6049000,2078
130,130,3,1,8,12,27,PASS,148296,972,397312,33800,0.23,17186000,3399
39601,1,1,1,16,9,9,PASS,673379,405,1267232,118803,0.099,79229000,12983
45,45,3,16,4,12,27,PASS,41740,4212,100276,64800,0.3,12316000,1361
56,56,1,256,64,12,27,PASS,1022960,39204,4014080,5619712,0.83,188263000,30577
13,13,3,3,8,32,18,PASS,2627,2880,5544,1014,0.25,400000,176
98,98,3,64,4,32,18,PASS,669952,37440,2445312,1229312,0.13,307860000,35455
49729,1,1,3,2,32,18,PASS,249221,1728,198916,298374,0.011,49764000,6983
108,108,3,16,8,32,18,PASS,281120,9792,1555232,373248,0.25,93624000,13053
16641,1,1,2,8,9,9,PASS,166491,243,266256,66564,0.2,16667000,3004
83,83,3,32,32,32,18,PASS,439616,19008,7094304,440896,0.98,110566000,23231
197,197,3,3,1,12,27,PASS,154776,972,114855,232854,0.092,39229000,4595
6241,1,1,3,128,12,27,PASS,821135,7452,1597696,224676,0.11,68705000,17372
133,133,3,8,8,32,18,PASS,281104,5184,1252360,283024,0.25,71078000,10400
193,193,3,3,2,32,18,PASS,185861,2880,367866,223494,0.052,74920000,8346
209,209,1,16,4,12,27,PASS,873944,972,349448,1397792,0.19,43725000,16066
120,120,3,4,16,12,27,PASS,281680,2916,1129024,172800,0.44,57896000,8042
3600,1,1,8,1,12,27,PASS,32724,972,7200,57600,0.029,3644000,695
81,81,3,32,16,9,9,PASS,314992,10449,6652432,629856,0.89,420722000,20241
45369,1,1,8,4,32,18,PASS,545004,1728,362952,725904,0.056,45404000,11517
54,54,3,8,1,12,27,PASS,27004,2268,19552,46656,0.086,8902000,976
28,28,3,256,128,12,27,PASS,593736,613332,16114176,2408448,0.95,751196000,67601
11,11,1,2,16,9,9,PASS,2340,405,3872,726,0.22,269000,83
361,1,1,1,4,12,27,PASS,2129,972,2888,722,0.053,405000,97
121,121,3,8,4,32,18,PASS,176076,5184,517412,234256,0.13,58862000,7235
20,20,3,8,64,12,27,PASS,29768,11988,158976,22400,0.78,7436000,961
184,184,3,8,2,12,27,PASS,338068,2268,468104,541696,0.15,101982000,11169
96,96,3,1,1,12,27,PASS,18376,972,26884,18432,0.048,9434000,749
1296,1,1,2,8,9,9,PASS,13041,243,20736,5184,0.2,1322000,244
160,160,3,32,2,12,27,PASS,872692,7452,1162248,1638400,0.16,282046000,30938
219,219,1,4,8,12,27,PASS,575856,972,767376,383688,0.099,48005000,11359
63,63,3,2,128,12,27,PASS,487790,7452,1460096,95256,0.63,43911000,11312
172,172,1,1,32,12,27,PASS,977244,2268,1893376,118336,0.033,88798000,20984
126,126,3,1,8,12,27,PASS,139208,972,372992,31752,0.23,16154000,3074
47,47,1,256,32,9,9,PASS,645588,18873,4099904,2827520,0.87,256385000,18277
76,76,1,1,2,12,27,PASS,17652,972,23104,11552,0.0089,5820000,543
180,180,3,4,4,9,9,PASS,256660,729,1152016,259200,0.45,130016000,7609
5929,1,1,128,32,9,9,PASS,953500,9801,5691840,3794560,0.84,355825000,27208
76,76,3,8,64,32,18,PASS,401280,9792,3229952,138624,0.98,46456000,12878
19,19,1,4,256,9,9,PASS,96209,4779,184832,43320,0.44,10523000,1721
32400,1,1,8,1,32,18,PASS,292176,1728,64800,518400,0.014,32435000,6351
25,25,3,3,2,12,27,PASS,3257,972,3358,3750,0.23,701000,174
190,190,3,1,2,9,9,PASS,106869,243,213568,72200,0.23,36506000,2511
729,1,1,8,64,9,9,PASS,53136,1377,93312,52488,0.79,5865000,957
62,62,1,16,128,32,18,PASS,555840,5184,984064,307520,0.87,15414000,10332
32,32,3,256,1,12,27,PASS,290908,56052,166020,524288,0.083,89004000,8867
98,98,3,1,2,32,18,PASS,28612,1728,56064,19208,0.051,9826000,1116
219,219,3,1,8,9,9,PASS,424754,243,1137080,95922,0.89,48425000,8429
18,18,3,2,8,9,9,PASS,2858,405,11264,1296,0.9,720000,128
205,205,3,4,16,9,9,PASS,828092,1377,5986064,504300,0.89,336706000,24864
164,164,3,1,8,12,27,PASS,237172,972,635040,53792,0.23,27250000,5540
55,55,3,8,128,12,27,PASS,394444,21708,2598272,290400,0.85,100281000,14787
8836,1,1,64,1,12,27,PASS,575312,2268,53016,1131008,0.066,26554000,10261
54,54,3,2,64,32,18,PASS,180040,2880,532480,17496,0.98,5976000,3556
324,1,1,512,4,32,18,PASS,183888,33984,75168,331776,0.12,9459000,3191
45,45,3,64,16,32,18,PASS,177616,37440,2011024,259200,0.49,65226000,9180
64,64,3,128,256,32,18,PASS,1803264,590400,131007488,4718592,0.98,2102416000,315699
11025,1,1,4,64,32,18,PASS,750852,2880,1411200,132300,0.21,22086000,14309
182,182,3,2,2,12,27,PASS,131372,972,195840,132496,0.12,33514000,3947
137,137,3,4,8,32,18,PASS,222028,2880,737640,150152,0.25,37848000,6610
2025,1,1,8,8,9,9,PASS,32481,243,32400,32400,0.79,2051000,510
110,110,1,32,1,9,9,PASS,399624,729,96800,774400,0.099,48429000,6968
14,14,3,16,32,12,27,PASS,13576,11988,69120,12544,0.78,3752000,486
51,51,3,16,8,12,27,PASS,62768,4212,259112,83232,0.59,15784000,2142
961,1,1,4,4,12,27,PASS,8012,972,7688,7688,0.065,1005000,187
153,153,3,16,4,9,9,PASS,467044,2673,3048388,749088,0.44,375026000,17707
729,1,1,16,8,32,18,PASS,18072,1728,11664,23328,0.23,764000,339
49,49,3,256,128,12,27,PASS,1203912,613332,50985600,7375872,0.95,2280920000,209370
25,25,1,8,64,12,27,PASS,46944,4212,80000,35000,0.26,3799000,923
29584,1,1,32,8,12,27,PASS,1184008,1620,946688,1893376,0.39,59213000,22713
24336,1,1,1,32,32,18,PASS,803664,1728,1557504,48672,0.054,24371000,15317
224,224,3,16,16,9,9,PASS,1593952,5265,26249280,2408448,0.89,1606416000,81656
36,36,3,8,8,12,27,PASS,20588,2268,68000,20736,0.59,4006000,715
61,61,3,16,1,9,9,PASS,64313,2673,118649,119072,0.11,59834000,2375
84,84,3,2,2,12,27,PASS,27884,972,41000,28224,0.13,7250000,918
202,202,3,1,2,12,27,PASS,121128,972,241600,81608,0.065,41234000,4066
169,169,3,32,4,9,9,PASS,1028100,5265,7336644,1827904,0.44,914626000,41795
178,178,3,4,8,32,18,PASS,375696,2880,1250304,253472,0.25,63760000,11782
222,222,3,4,16,9,9,PASS,972184,1377,7025920,591408,0.89,394812000,29096
97,97,1,32,8,12,27,PASS,377008,1620,301088,602176,0.39,18863000,7085
58,58,3,8,2,9,9,PASS,33832,1377,110208,53824,0.23,27124000,1163
120,120,3,1,64,32,18,PASS,906688,2880,2703616,43200,0.49,29076000,18749
1369,1,1,512,1,12,27,PASS,708453,12636,52022,1401856,0.084,26073000,12550
160,160,1,32,2,12,27,PASS,871048,1620,204800,1638400,0.099,51245000,16527
11,11,3,4,2,12,27,PASS,1294,1620,954,968,0.19,300000,136
31,31,1,16,128,12,27,PASS,141948,7452,246016,184512,0.56,10625000,2732
2916,1,1,8,64,32,18,PASS,211104,2880,373248,69984,0.43,5868000,3962
127,127,3,1,1,32,18,PASS,32330,1728,47375,32258,0.031,16409000,1781
36,36,3,1,8,9,9,PASS,10625,243,28832,2592,0.89,1394000,228
6724,1,1,4,32,32,18,PASS,242640,1728,430336,53792,0.22,6759000,4514
4096,1,1,8,2,32,18,PASS,41536,1728,16384,65536,0.03,4131000,952
11,11,3,1,512,12,27,PASS,55525,28188,142848,5324,0.33,5671000,1285
145,145,3,3,8,32,18,PASS,227819,2880,827112,126150,0.19,42376000,7361
121,121,3,2,2,9,9,PASS,57766,405,143514,58564,0.23,29560000,1613
729,1,1,2,32,9,9,PASS,25110,729,46656,7290,0.2,2945000,490
166,166,3,1,2,9,9,PASS,81429,243,162688,55112,0.23,27914000,1802
122,122,3,64,2,9,9,PASS,986560,10449,3776640,1905152,0.22,953476000,39258
204,204,3,4,4,12,27,PASS,330328,1620,822544,332928,0.22,83676000,10438
92,92,3,32,4,12,27,PASS,306812,7452,761040,541696,0.32,93414000,11021
39,39,1,256,2,12,27,PASS,395658,6804,60840,778752,0.16,15263000,6860
43,43,1,3,4,12,27,PASS,13267,972,14792,11094,0.045,1893000,306
121,1,1,64,16,12,27,PASS,11624,4212,11616,23232,0.52,775000,229
1936,1,1,64,256,32,18,PASS,637952,37440,3964928,1115136,0.87,62018000,18622
44,44,1,64,32,9,9,PASS,188448,5265,991232,619520,0.79,62009000,4825
31,31,1,8,32,9,9,PASS,38764,729,61504,38440,0.79,3873000,712
33,33,1,16,4,9,9,PASS,21942,405,17424,34848,0.4,2205000,379
126,126,1,2,16,12,27,PASS,286416,1620,508032,95256,0.05,31797000,6238
145,145,3,2,32,9,9,PASS,697066,1377,3308448,210250,0.89,168586000,17290
82,82,3,16,32,12,27,PASS,318216,11988,2723840,430336,0.78,121392000,15276
12,12,3,16,2,12,27,PASS,4448,4212,3080,4608,0.17,964000,181
130,130,3,16,16,12,27,PASS,536432,8100,3457024,811200,0.58,203196000,23959
361,1,1,256,4,32,18,PASS,102500,17856,43320,184832,0.12,5464000,1885
13924,1,1,32,32,9,9,PASS,892432,2673,3564544,2227840,0.79,222825000,21354
18,18,3,128,32,12,27,PASS,91460,83916,800768,165888,0.87,43138000,4491
40,40,3,1,32,32,18,PASS,48384,1728,143488,3200,0.51,1706000,1073
576,1,1,256,256,12,27,PASS,366192,142884,2949120,3391488,0.9,126983000,14188
21316,1,1,2,1,32,18,PASS,64524,1728,42632,85264,0.004,21351000,2321
206,206,1,1,4,9,9,PASS,212261,243,339488,84872,0.05,42462000,4153
98,98,1,8,8,32,18,PASS,154240,1728,153664,153664,0.11,9639000,3035
1225,1,1,2,4,9,9,PASS,7431,243,9800,4900,0.1,1251000,159
42,42,3,32,2,32,18,PASS,68864,19008,110720,112896,0.065,28484000,2995
69,69,1,2,16,32,18,PASS,86274,1728,152352,19044,0.058,4796000,1729
113,113,3,2,64,9,9,PASS,815378,2673,3999552,229842,0.89,204706000,20385
196,1,1,16,256,12,27,PASS,60440,14580,100352,72128,0.56,4377000,1066
126,126,3,1,2,32,18,PASS,47204,1728,93248,31752,0.046,16154000,1940
29,29,3,4,1,12,27,PASS,4741,1620,3861,6728,0.088,1776000,253
158,158,3,8,8,9,9,PASS,395048,1377,3349632,399424,0.89,200124000,13608
76,76,3,1,1,12,27,PASS,11576,972,16724,11552,0.053,5954000,530
34596,1,1,4,16,32,18,PASS,692496,1728,1107072,276768,0.11,34631000,14164
15,15,3,256,8,12,27,PASS,86816,56052,269672,115200,0.65,20256000,2585
107,107,3,8,2,9,9,PASS,114290,1377,381570,183184,0.22,91902000,4090
88,88,3,4,16,32,18,PASS,150464,2880,602688,61952,0.5,15700000,4113
165,165,3,16,16,32,18,PASS,865312,9792,7310224,871200,0.49,218226000,38635
114,114,1,4,8,32,18,PASS,156528,1728,207936,103968,0.056,13031000,3152
63,63,1,32,1,12,27,PASS,131625,1620,15876,254016,0.051,7983000,2295
2401,1,1,8,1,12,27,PASS,21933,972,4802,38416,0.031,2445000,520
169,169,3,1,4,9,9,PASS,140198,243,337340,57122,0.45,28925000,3003
2916,1,1,2,32,9,9,PASS,99468,729,186624,29160,0.2,11693000,1741
56,56,3,32,1,12,27,PASS,106832,7452,69444,200704,0.084,34734000,3412
36,36,3,1,256,32,18,PASS,301840,9792,922624,11664,0.49,10536000,6053
103,103,3,8,16,9,9,PASS,249384,2673,2826384,254616,0.89,170126000,9648
15,15,1,8,16,12,27,PASS,6048,1620,7200,5400,0.22,495000,170
32,32,3,8,512,32,18,PASS,505856,74304,4392960,139264,0.98,66256000,17486
6889,1,1,8,2,32,18,PASS,69466,1728,27556,110224,0.029,6924000,1490
49,49,3,2,128,32,18,PASS,289858,5184,872320,24010,0.98,9758000,5914
53,53,3,128,128,9,9,PASS,848000,311121,88904832,5752832,0.95,5412602000,205154
784,1,1,256,1,9,9,PASS,203837,4779,45472,401408,0.11,22790000,3349
112,112,3,1,16,12,27,PASS,206792,1620,587840,37632,0.22,25348000,4637
6889,1,1,1,128,12,27,PASS,892245,7452,1763584,82668,0.036,75833000,18629
49,49,3,2,128,32,18,PASS,289858,5184,872320,24010,0.98,9758000,5996
576,1,1,16,32,9,9,PASS,28296,1377,73728,46080,0.79,4641000,537
54,54,1,8,32,32,18,PASS,117216,1728,186624,46656,0.44,2951000,2126
34,34,3,2,16,9,9,PASS,19020,729,86016,6936,0.89,4748000,484
112,112,1,8,1,12,27,PASS,113220,972,25088,200704,0.026,12588000,2168
68,68,3,16,32,32,18,PASS,217984,9792,2437248,147968,0.98,37224000,8434
19,19,3,512,1,12,27,PASS,240525,111132,110755,369664,0.084,63495000,6192
106,106,3,32,16,12,27,PASS,539736,14580,4053504,1078656,0.64,247640000,27877
3136,1,1,4,2,9,9,PASS,18897,243,12544,25088,0.1,3162000,340
41,41,3,1,16,12,27,PASS,26665,1620,75504,5043,0.24,3480000,757
138,138,3,4,16,32,18,PASS,373264,2880,1497088,152352,0.49,38400000,10254
5041,1,1,32,2,9,9,PASS,171718,729,80656,322624,0.2,20193000,3255
84,84,3,128,32,9,9,PASS,1159808,83025,56641664,4515840,0.89,3617976000,143641
67,67,3,128,128,12,27,PASS,1268644,306828,48480640,6895104,0.95,2128177000,202213
29,29,3,64,8,12,27,PASS,66784,14580,281448,107648,0.64,18796000,2466
5184,1,1,64,32,9,9,PASS,500256,5265,2654208,1658880,0.79,165945000,13268
133,133,3,2,2,32,18,PASS,70276,1728,104014,70756,0.076,17981000,2475
10816,1,1,16,32,9,9,PASS,519816,1377,1384448,865280,0.79,86561000,10705
18,18,3,2,2,32,18,PASS,1736,1728,1664,1296,0.16,386000,156
169,1,1,512,16,32,18,PASS,105936,33984,156832,173056,0.48,4964000,1899
185,185,3,2,1,32,18,PASS,102515,1728,101199,136900,0.041,34621000,4241
12321,1,1,64,4,12,27,PASS,838800,2268,295704,1577088,0.26,37009000,15526
26,26,3,1,128,12,27,PASS,77968,7452,233472,8112,0.32,7614000,1948
46,46,3,3,64,32,18,PASS,132556,5184,642048,19044,0.73,8612000,3235
168,168,1,1,4,9,9,PASS,141201,243,225792,56448,0.05,28250000,2639
173,173,1,3,1,12,27,PASS,120040,972,59858,179574,0.0098,29973000,3061
128,128,3,64,32,32,18,PASS,1575040,37440,33538176,2097152,0.98,524880000,102501
99,99,3,16,4,32,18,PASS,199060,9792,652228,313632,0.13,78702000,9634
89,89,3,1,1,32,18,PASS,16066,1728,23055,15842,0.037,8125000,825
43,43,3,16,16,12,27,PASS,60368,8100,365392,88752,0.59,22410000,2433
183,183,3,8,1,12,27,PASS,301645,2268,231499,535824,0.077,100879000,10662
11,11,3,8,256,32,18,PASS,40136,37440,223488,8712,0.98,4230000,1042
194,194,3,4,4,9,9,PASS,298324,729,1339392,301088,0.45,150988000,9311
9604,1,1,16,32,12,27,PASS,461964,2268,614656,614656,0.51,28858000,8817
39,39,3,3,256,9,9,PASS,362074,14175,2566912,136890,0.98,133291000,10802
114,114,3,16,8,12,27,PASS,310232,4212,1326080,415872,0.59,78280000,10734
120,120,1,1,2,9,9,PASS,43281,243,57600,28800,0.025,14426000,901
93,93,3,1,16,9,9,PASS,141307,405,403312,25947,0.89,17520000,2746
21,21,3,64,512,32,18,PASS,507968,590400,13259264,479808,0.98,230970000,35290
6889,1,1,64,128,32,18,PASS,1331904,19008,7054336,2204480,0.87,110274000,35032
48,48,3,128,64,9,9,PASS,513280,165969,36311296,2654208,0.89,2369648000,89447
32041,1,1,2,1,12,27,PASS,96447,972,64082,128164,0.0067,32085000,2671
103,103,3,1,1,32,18,PASS,21386,1728,31007,21218,0.034,10841000,1107
115,115,3,2,8,32,18,PASS,129178,1728,310072,52900,0.26,13481000,3233
3721,1,1,4,2,9,9,PASS,22407,243,14884,29768,0.1,3747000,426
90,90,3,2,4,9,9,PASS,47338,405,157696,32400,0.45,16416000,1307
47,47,3,16,16,12,27,PASS,71632,8100,438480,106032,0.59,26738000,3028
75,75,3,8,32,32,18,PASS,217832,5184,1572128,90000,0.98,22706000,6617
9801,1,1,8,64,12,27,PASS,707616,4212,1254528,548856,0.26,58855000,14232
88,88,1,32,8,9,9,PASS,310084,729,495616,495616,0.79,31005000,5916
15625,1,1,8,4,12,27,PASS,187824,972,125000,250000,0.097,15669000,3359
12,12,3,3,4,32,18,PASS,1984,2880,2320,864,0.17,348000,157
17,17,3,2,16,12,27,PASS,4826,1620,11760,1734,0.47,648000,217
72,72,1,4,128,32,18,PASS,686592,5184,1327104,103680,0.21,20774000,13231
25,25,3,4,1,32,18,PASS,4181,2880,2829,5000,0.07,1336000,224
198,198,3,3,16,12,27,PASS,732916,1620,1856512,352836,0.66,78840000,17535
7396,1,1,8,8,9,9,PASS,118417,243,118336,118336,0.79,7422000,1895
76,76,3,32,16,32,18,PASS,281664,19008,2967104,369664,0.49,92744000,14523
216,216,3,1,8,32,18,PASS,413600,1728,1105952,93312,0.13,47114000,10625
83,83,3,4,32,12,27,PASS,239452,4212,1070496,110224,0.58,41576000,7037
15,15,1,2,2,32,18,PASS,1476,1728,900,900,0.052,260000,109
71,71,3,16,1,12,27,PASS,87361,4212,63549,161312,0.078,30464000,3012
171,171,3,2,8,9,9,PASS,287132,405,1153256,116964,0.89,58860000,6542
172,172,3,16,8,12,27,PASS,706488,4212,3038240,946688,0.58,177924000,24686
21904,1,1,4,32,12,27,PASS,789516,2268,1401856,350464,0.13,65758000,16206
29241,1,1,3,8,9,9,PASS,321732,243,467856,175446,0.3,29267000,5602
94,94,3,8,16,9,9,PASS,207408,2673,2349312,212064,0.89,141740000,7868
90,90,1,16,128,12,27,PASS,1169964,7452,2073600,1555200,0.56,89154000,25491
34,34,3,64,32,9,9,PASS,127488,41553,4489216,369920,0.89,298580000,11871
6084,1,1,2,16,32,18,PASS,110088,1728,194688,24336,0.057,6119000,2104
26,26,3,256,1,9,9,PASS,194368,41553,320064,346112,0.11,175684000,6606
43,43,3,512,128,32,18,PASS,1751680,1180224,115755136,4733440,0.98,1903718000,292496
14641,1,1,4,1,32,18,PASS,73781,1728,29282,117128,0.0077,14676000,2056
178,178,3,4,16,12,27,PASS,623648,2916,2500608,380208,0.44,127148000,18970
85,85,3,2,16,12,27,PASS,125322,1620,335984,43350,0.44,14656000,2914
12544,1,1,1,8,12,27,PASS,113220,972,200704,25088,0.026,12588000,2239
104,104,3,1,64,12,27,PASS,678616,4212,2023680,75712,0.29,65180000,15800
100,1,1,128,256,12,27,PASS,74040,71604,256000,294400,0.9,11153000,1350
77,77,1,16,8,32,18,PASS,142872,1728,94864,189728,0.22,5964000,2425
26,26,3,2,16,32,18,PASS,11144,1728,29184,2704,0.53,754000,293
10,10,3,32,256,12,27,PASS,97992,157140,466944,73600,0.93,26656000,2503
961,1,1,2,512,12,27,PASS,507886,28188,984064,84568,0.074,41409000,10152
214,214,3,8,4,12,27,PASS,547116,2268,1268608,732736,0.3,137862000,17332
115,115,3,3,32,9,9,PASS,449255,2025,2903648,198375,0.89,159066000,12820
33,33,3,16,1,32,18,PASS,22993,9792,17329,34848,0.039,8874000,920
14,14,1,128,128,32,18,PASS,68608,37440,401408,125440,0.87,6338000,1522
177,177,3,2,2,12,27,PASS,124232,972,185150,125316,0.12,31709000,3616
90,90,3,32,32,12,27,PASS,517700,21708,5823488,1036800,0.85,267826000,30697
47,47,3,2,128,32,18,PASS,265922,5184,800640,22090,0.98,8986000,5401
80,80,3,32,1,9,9,PASS,213476,5265,405444,409600,0.11,205296000,7534
23,23,1,8,8,9,9,PASS,8545,243,8464,8464,0.79,555000,168
70,70,3,4,64,9,9,PASS,318128,5265,2733056,176400,0.89,157276000,10850
27889,1,1,2,32,32,18,PASS,948802,1728,1784896,111556,0.11,27924000,18130
9409,1,1,8,2,9,9,PASS,94171,243,37636,150544,0.2,9435000,1521
113,113,1,8,16,32,18,PASS,307032,1728,408608,204304,0.22,12804000,5663
17,17,3,8,32,32,18,PASS,11816,5184,72480,4624,0.98,1246000,408
32,32,3,16,32,9,9,PASS,50368,10449,1011840,81920,0.89,66256000,3099
59,59,3,64,256,32,18,PASS,1201984,295488,55931136,2005056,0.98,893830000,146838
12,12,3,2,128,9,9,PASS,15518,4941,74240,4608,0.95,4660000,401
198,198,3,4,2,12,27,PASS,234296,1620,387296,313632,0.12,78840000,7919
24649,1,1,1,4,32,18,PASS,123821,1728,197192,49298,0.0074,24684000,3194
217,217,1,8,16,12,27,PASS,1130784,1620,1506848,1130136,0.19,94223000,23218
5625,1,1,32,64,9,9,PASS,542592,5265,2880000,1620000,0.79,180057000,14249
214,214,3,3,16,32,18,PASS,857644,2880,3622656,274776,0.37,92056000,23677
57,57,3,3,1,9,9,PASS,13015,567,21835,19494,0.12,9907000,474
5776,1,1,64,4,12,27,PASS,393740,2268,138624,739328,0.26,17374000,7127
71,71,3,3,4,32,18,PASS,35319,2880,97428,30246,0.11,10260000,1296
53,53,1,4,4,9,9,PASS,22553,243,22472,22472,0.2,2835000,391
202,202,1,4,16,12,27,PASS,816728,1620,1305728,489648,0.099,81653000,16674
