ifmap_h,ifmap_w,kernel,c_in,f_out,arch_filter_count,arch_channel_count,valid,dram,weight,psum,ifmap,pe_util,latency,sim_time
676,1,1,3,32,9,9,PASS,23984,729,43264,10140,0.3,2733000,455
2401,1,1,16,16,12,27,PASS,77480,1620,76832,115248,0.39,4847000,1554
5476,1,1,32,4,12,27,PASS,197784,1620,87616,350464,0.2,10997000,3708
400,1,1,128,32,12,27,PASS,68860,10044,128000,204800,0.83,6058000,1332
529,1,1,256,8,32,18,PASS,148296,17856,126960,270848,0.24,7984000,2751
15625,1,1,2,32,9,9,PASS,531574,729,1000000,156250,0.2,62529000,10499
186,186,3,3,4,12,27,PASS,239536,972,409216,207576,0.34,34994000,5955
159,159,3,4,4,12,27,PASS,200368,1620,498004,202248,0.22,50916000,6266
209,209,3,8,8,32,18,PASS,694544,5184,3111624,698896,0.25,175198000,26701
77,77,1,128,16,9,9,PASS,856206,4941,2845920,2276736,0.84,177925000,19312
59,59,3,256,4,12,27,PASS,931996,56052,2326740,1782272,0.33,300360000,33706
135,135,1,3,1,32,18,PASS,73476,1728,36450,109350,0.0058,18260000,2126
87,87,1,128,32,9,9,PASS,1215900,9801,7266240,4844160,0.84,454225000,34824
180,180,3,3,1,32,18,PASS,130036,2880,159844,194400,0.029,65196000,6676
19,19,1,8,2,9,9,PASS,3691,243,1444,5776,0.21,387000,103
11,11,3,256,1,9,9,PASS,51793,41553,50769,61952,0.11,33574000,1222
63,63,3,3,16,32,18,PASS,72595,2880,305488,23814,0.38,8100000,1976
3364,1,1,1,4,12,27,PASS,17144,972,26912,6728,0.017,3408000,433
18,18,1,4,64,32,18,PASS,23184,2880,41472,3888,0.23,684000,410
36,36,1,8,2,12,27,PASS,13284,972,5184,20736,0.061,1340000,258
73,73,1,1,2,12,27,PASS,16311,972,21316,10658,0.0091,5373000,464
21316,1,1,1,2,9,9,PASS,64029,243,85264,42632,0.025,21342000,1446
20,20,3,1,8,32,18,PASS,3568,1728,8352,800,0.21,466000,178
19,19,3,16,256,32,18,PASS,116624,74304,1396992,51984,0.98,23798000,4629
20,20,3,32,512,12,27,PASS,331940,306828,4220928,563200,0.95,193986000,19457
181,181,3,32,1,12,27,PASS,1083957,7452,744819,2096704,0.082,360859000,38402
78,78,3,32,1,9,9,PASS,203056,5265,385168,389376,0.11,195180000,7525
3481,1,1,128,128,9,9,PASS,909361,36531,13367040,7129088,0.9,783475000,39847
116,116,3,16,2,9,9,PASS,242584,2673,872328,430592,0.22,215704000,9211
109,109,3,16,16,32,18,PASS,377888,9792,3168912,380192,0.49,95362000,15840
31,31,3,3,8,32,18,PASS,10763,2880,35496,5766,0.21,2020000,401
1936,1,1,1,8,32,18,PASS,18000,1728,30976,3872,0.02,1971000,437
166,166,3,3,32,32,18,PASS,944492,2880,4345344,165336,0.73,55480000,23595
139,139,3,8,8,12,27,PASS,305692,2268,1064216,309136,0.59,58287000,9523
26,26,3,16,256,12,27,PASS,201040,85860,2064384,248768,0.85,90620000,10077
206,206,1,4,2,12,27,PASS,254940,972,169744,339488,0.025,42480000,5725
125,125,3,2,4,32,18,PASS,92342,1728,183516,62500,0.14,15901000,2733
101,101,3,2,4,32,18,PASS,60182,1728,119196,40804,0.14,10429000,1652
125,125,3,4,4,9,9,PASS,123340,729,552516,125000,0.45,62806000,3316
441,1,1,3,2,9,9,PASS,2286,243,1764,2646,0.089,467000,96
145,145,3,4,8,12,27,PASS,248340,1620,827112,168200,0.44,42376000,6661
76,76,1,1,4,32,18,PASS,29456,1728,46208,11552,0.0089,5811000,765
30,30,1,256,16,32,18,PASS,253440,17856,432000,460800,0.47,13549000,4792
103,103,3,32,16,12,27,PASS,509832,14580,3825072,1018464,0.64,233840000,25406
167,167,3,16,8,9,9,PASS,665320,2673,7271880,892448,0.89,446734000,26762
10,10,3,3,8,9,9,PASS,1055,567,4352,600,0.9,366000,76
70,70,3,2,1,12,27,PASS,14748,972,14144,19600,0.082,5066000,602
126,126,3,1,64,32,18,PASS,1001092,2880,2983936,47628,0.49,32040000,21301
99,99,3,4,1,32,18,PASS,49765,2880,47821,78408,0.041,19836000,2244
6241,1,1,4,64,12,27,PASS,426332,4212,798848,174748,0.13,37495000,8797
147,147,3,32,16,12,27,PASS,1035016,14580,7839280,2074464,0.64,475928000,53030
136,136,1,2,32,9,9,PASS,629188,729,1183744,184960,0.2,74013000,11925
137,137,3,8,16,9,9,PASS,443048,2673,5026320,450456,0.89,300754000,16617
26,26,3,32,32,9,9,PASS,50432,20817,1296384,108160,0.89,87876000,3747
109,109,3,2,64,32,18,PASS,757650,2880,2225600,71286,0.98,24016000,15649
180,180,3,8,16,32,18,PASS,768448,5184,4608064,518400,0.49,130016000,25722
67,67,3,16,128,32,18,PASS,631056,37440,9459840,359120,0.98,144118000,29583
